"cases_time_series__dailyconfirmed","cases_time_series__dailydeceased","cases_time_series__dailyrecovered","cases_time_series__date","cases_time_series__dateymd","cases_time_series__totalconfirmed","cases_time_series__totaldeceased","cases_time_series__totalrecovered","statewise__active","statewise__confirmed","statewise__deaths","statewise__deltaconfirmed","statewise__deltadeaths","statewise__deltarecovered","statewise__lastupdatedtime","statewise__migratedother","statewise__recovered","statewise__state","statewise__statecode","statewise__statenotes","tested__dailyrtpcrsamplescollectedicmrapplication","tested__firstdoseadministered","tested__frontlineworkersvaccinated","tested__healthcareworkersvaccinated","tested__positivecasesfromsamplesreported","tested__samplereportedtoday","tested__seconddoseadministered","tested__source","tested__source2","tested__source3","tested__source4","tested__testedasof","tested__testsconductedbyprivatelabs","tested__totaldosesadministered","tested__totalindividualstested","tested__totalindividualsvaccinated","tested__totalpositivecases","tested__totalrtpcrsamplescollectedicmrapplication","tested__totalsamplestested","tested__totalsessionsconducted","tested__updatetimestamp"
"1","0","0","30 January ","2020-01-30","1","0","0","142715","10997821","156376","6729","37","6655","21/2/2021 20:40:27","4537","10694193","Total","TT","","","","","","","","","Press_Release_ICMR_13March2020.pdf","","","","13/03/2020","","","5900","","78","","6500","","13/03/2020 00:00:00"
"0","0","0","31 January ","2020-01-31","1","0","0","48439","2093913","51753","0","0","0","20/02/2021 20:26:42","1191","1992530","Maharashtra","MH","[Dec 16]:10,218 duplicate cases & other state cases removed from total cases.791 recovered cases also removed from total recovered cases while reconciling \n[Sep 9] :239 cases have been removed from the hospitalized figures owing to the removal of duplicates and change of addresses as per the original residence\n[Aug 15] : MH bulletin has reduced 819 confirmed cases in Mumbai and 72 confirmed cases from 'Other States' from the tally\n[Jun 16] : 1328 deceased cases have been retroactively added to MH bulletin.\n[Jun 20] : 69 deceased cases have been reduced based on state bulletin.","","","","","","","","ICMR_website_update_18March_6PM_IST.pdf","","","","18/03/2020","","","12235","","150","","13125","","18/03/2020 18:00:00"
"0","0","0","01 February ","2020-02-01","1","0","0","6036","948149","12294","413","2","353","21/02/2021 20:30:29","19","929800","Karnataka","KA","","","","","","","","","ICMR_website_update_19March_10AM_IST_V2.pdf","","","","19/03/2020","","","12426","","168","","13316","","19/03/2020 10:00:00"
"1","0","0","02 February ","2020-02-02","2","0","0","620","889298","7167","88","0","72","21/02/2021 19:23:35","0","881511","Andhra Pradesh","AP","","","","","","","","","ICMR_website_update_19March_6PM_IST.pdf","","","","19/03/2020","","","13285","","182","","14175","","19/03/2020 18:00:00"
"1","0","0","03 February ","2020-02-03","3","0","0","4109","848275","12460","452","3","460","21/02/2021 19:58:35","0","831706","Tamil Nadu","TN","[July 22]: 444 backdated deceased entries added to Chennai in TN bulletin.\n2 deaths cross notified to other states from Chennai and Coimbatore.\n1 patient died after turning negative for infection in Chengalpattu.\nThese cases have been added to TN deceased tally","","","","","","","","ICMR_website_update_20March_10AM_IST.pdf","","","","20/03/2020","","","13486","","206","","14376","","20/03/2020 10:00:00"
"0","0","0","04 February ","2020-02-04","3","0","0","58316","1034658","4090","4070","15","4345","21/02/2021 20:18:31","277","971975","Kerala","KL","Mahe native who expired in Kannur included in Kerala's deceased tally.\nSome non-covid deaths have also been reported in the bulletin.\nThese have been reduced from active count","","","","","","","","ICMR_website_update_20March_6PM_IST.pdf","","","","20/03/2020","","","14514","","236","","15404","","20/03/2020 18:00:00"
"0","0","0","05 February ","2020-02-05","3","0","0","1071","637900","10900","145","2","97","21/02/2021 16:55:30","0","625929","Delhi","DL","[July 14]: Value for the total tests conducted has been reduced by 97008 in the state bulletin. Reason given : ""Reconciled with ICMR figures"". We have made the same change.","","","","","","","","ICMR_website_update_21March_10AM_IST.pdf","","","","21/03/2020","","","14811","","271","","15701","","21/03/2020 10:00:00"
"0","0","0","06 February ","2020-02-06","3","0","0","2433","602706","8714","0","0","0","20/02/2021 23:34:33","0","591559","Uttar Pradesh","UP","[Jan 1]:As no bulletin was provided for 31'st Dec'20,its count has been combined with 1st Jan'21\n[Jan 9]:Due to reconcillation there are 1286 cases.","","","","","","","","ICMR_website_update_21March_6PM_IST.pdf","","","","21/03/2020","","","16021","","315","","16911","","21/03/2020 18:00:00"
"0","0","0","07 February ","2020-02-07","3","0","0","3525","573762","10249","182","3","233","21/02/2021 19:58:39","0","559988","West Bengal","WB","","","","","","","","","ICMR_website_update_22March_10AM_IST.pdf","","","","22/03/2020","","","16109","","341","","16999","","22/03/2020 10:00:00"
"0","0","0","08 February ","2020-02-08","3","0","0","616","336636","1967","58","0","0","21/02/2021 15:05:25","0","334053","Odisha","OR","[July 12th] :20 non-covid deaths reported in state dashboard are included in the deceased count","","","","","","","","ICMR_website_update_22March_6PM_IST.pdf","","","","22/03/2020","","","17237","","396","","18127","","22/03/2020 18:00:00"
